"Name","Tags","User","Created","Runtime","args.rnn_hidden","args.cnn_hidden","movingAverage","Training reward","args.num_revisit","args.model_id","optimizer","env index","params.lr","params.model","params.num_trajs","score"
"solar-firebrand-3163","training-hard","sy2938","2021-04-19T15:44:45.000Z","2456","","","0.8630522485841823","1.0472054277413465","4","25f04a4a-a126-11eb-9231-acde48001122.pt","","","","","",""
"magic-wind-3162","training-hard","sy2938","2021-04-19T15:41:37.000Z","4087","","","0.7932180531290811","1.0294804858242514","","","","","","","",""
"grateful-frost-3161","training-easy","sy2938","2021-04-19T15:40:08.000Z","2405","","","0.4716129770254725","0.4615640908385785","4","8182141e-a125-11eb-8ebd-acde48001122.pt","","","","","",""
"fallen-bee-3160","training-easy","sy2938","2021-04-19T15:39:07.000Z","4212","","","0.8071334562596775","0.769731929466019","","","","","","","",""
"youthful-valley-3156","training-easy","sy2938","2021-04-19T15:13:21.000Z","5765","","","0.5109597954245544","0.5117706130477776","","","","","","","",""
"azure-cloud-3154","training-hard","sy2938","2021-04-19T15:03:41.000Z","2461","","","0.13175038601539768","0.15179347621022998","4","6a48bf66-a120-11eb-aed3-acde48001122.pt","","","","","",""
"confused-flower-3153","training-easy","sy2938","2021-04-19T14:59:36.000Z","2430","","","0.19840820470130893","0.04190136522362309","4","d8607346-a11f-11eb-a064-acde48001122.pt","","","","","",""
"sunny-lake-3152","training-hard","sy2938","2021-04-19T14:55:42.000Z","6853","","","0.11610768030284171","0.11540337805926508","","","","","","","",""
"laced-fog-3151","training-hard","sy2938","2021-04-19T14:23:03.000Z","2436","","","0.8490575265345512","0.8301113393660557","4","bd038886-a11a-11eb-ad23-acde48001122.pt","","","","","",""
"distinctive-silence-3150","training-hard","sy2938","2021-04-19T14:19:56.000Z","4897","","","0.6694549974914565","0.8476635980381673","8","4cd7c66c-a11a-11eb-b8f6-acde48001122.pt","","","","","",""
"still-yogurt-3149","training-easy","sy2938","2021-04-19T14:19:18.000Z","2416","","","0.06360047402483815","0.030714365397670917","4","36e9c4c2-a11a-11eb-9a14-acde48001122.pt","","","","","",""
"bumbling-mountain-3148","training-easy","sy2938","2021-04-19T14:17:45.000Z","4879","","","0.04280466547521655","0.047481022020974706","8","ffe3fab0-a119-11eb-98a4-acde48001122.pt","","","","","",""
"fresh-spaceship-3143","training-hard","sy2938","2021-04-19T13:42:26.000Z","2435","","","0.5777048008803263","0.5734196897514039","4","10bb4d98-a115-11eb-9ead-acde48001122.pt","","","","","",""
"dry-mountain-3142","training-easy","sy2938","2021-04-19T13:39:14.000Z","2401","","","0.8954468448766306","0.5346578134884226","4","9e05256c-a114-11eb-b68f-acde48001122.pt","","","","","",""
